Title,rating,is_action,is_crime,is_music,is_drama,is_family,is_comedy,is_romance,is_fantasy,is_mystery,is_war,is_biography,is_history,is_thriller,is_adventure,is_horror,is_animation,is_sport,is_sci-fi,is_documentary,duration_m,log_box_office,star_score,special_day
C.I.D.,7.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0,4.6999661643494415,0,0
Fashion,8.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0,7.7086772653511755,1,0
Naya Daur,7.9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,5.248792018403978,2,0
Chalti Ka Naam Gaadi,7.9,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,173.0,4.620681134969492,0,0
Madhumati,7.7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,166.0,5.086985648190504,2,0
Mughal-E-Azam,8.1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,197.0,6.000560552733215,3,0
Sangam,7.3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238.0,5.414062704097405,3,0
Shaheed,8.2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,150.0,3.701346382043757,0,0
Guide,8.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183.0,4.534435047377895,0,0
Waqt,7.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,178.0,5.068949448018036,1,0
Jewel Thief,7.9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,186.0,4.4267185507337485,1,0
Ek Phool Do Mali,6.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,4.688239981612541,0,0
Aradhana,7.6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,169.0,5.022079364133245,1,0
Ittefaq,7.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,104.0,4.427050612015236,1,0
Do Raaste,7.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150.0,4.948478248718376,0,0
