Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Chauranghee,https://www.imdb.com/title/tt0214578/,Drama+Family+Musical,1942-07-04,,,Sibtain Fazli,Amita Bose+Maya Bose+Chhayadevi,,,9.3,
Do Bigha Zamin,https://www.imdb.com/title/tt0045693/,Drama,1953-07-24,"In the hope of earning enough money to pay off his debts and save his land, a poor farmer becomes a rickshaw puller in Calcutta and faces many difficulties.",,Bimal Roy,Balraj Sahni+Nirupa Roy+Ratan Kumar,Salil Choudhury+Paul Mahendra+Hrishikesh Mukherjee,PT2H11M,8.3,
Shree 420,https://www.imdb.com/title/tt0048613/,Comedy+Crime+Drama,1955-09-06,"When a young man from a small town decides to make it big in a city, he faces several challenges.",,Raj Kapoor,Nargis+Raj Kapoor+Nadira,Khwaja Ahmad Abbas+V.P. Sathe,PT2H48M,7.9,
Devdas,https://www.imdb.com/title/tt0047990/,Drama+Musical+Romance,1955-12-30,The scion of a wealthy landowner family turns to alcohol and self-pity and slowly self-destructs after class differences force him to break off his relationship with his childhood sweetheart.,,Bimal Roy,Dilip Kumar+Suchitra Sen+Vyjayanthimala,,PT2H39M,7.7,
C.I.D.,https://www.imdb.com/title/tt0049041/,Action+Crime+Musical,1956-04-06,"A newspaper editor gets murdered when he was about to expose the underworld links of a rich person. So, a C.I.D inspector gets assigned to investigate the murder case.",1.25,Raj Khosla,Dev Anand+Shakila+Johnny Walker,Inder Raj Anand,PT2H26M,7.1,108.94345238095238
Awaara,https://www.imdb.com/title/tt0043306/,Drama+Musical+Romance,1956-04-07,"A poor young man named Raj joins a criminal gang to feed his mother. But when he falls in love with Rita, he decides to reform himself for her.",,Raj Kapoor,Raj Kapoor+Nargis+Prithviraj Kapoor,,PT3H13M,7.8,
Fashion,https://www.imdb.com/title/tt0373835/,Drama+Family,1957-01-01,Kishore lives happily with wife Shanta and daughter Kamla only thing he is unhappy about is Shanta being old fashioned.His friend Kedar who eyes Shanta takes advantage of this situation and introduces Kishore to alcohol and other women who starts seeing Manorama.Shanta finds about the same and goes to comfort Kedar who tries to molest her and scoops false story to Kishore about Shanta's infidelity.This leads to Kishore getting separated from Shanta and also refuses any connects with Kamla.,26.46,Lekhraj Bhakri,Pradeep Kumar+Manoj Kumar+Mala Sinha,,PT2H28M,8.0,2226.593793103448
Thirst,https://www.imdb.com/title/tt0050870/,Drama+Musical+Romance,1957-02-19,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world.",,Guru Dutt,Guru Dutt+Waheeda Rehman+Mala Sinha,Abrar Alvi,PT2H26M,8.3,
Naya Daur,https://www.imdb.com/title/tt0050758/,Action+Drama+Musical,1957-08-15,"When the son of a landlord decides to modernize his business by replacing the horse carts with buses, a horse cart rider decides to challenge him.",2.25,B.R. Chopra,Dilip Kumar+Vyjayanthimala+Ajit Khan,Akhtar Mirza+Kamil Rashid,PT2H53M,7.9,189.33620689655172
Mother India,https://www.imdb.com/title/tt0050188/,Action+Comedy+Drama,1957-10-25,"In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, she always sticks to her own moral code.",,Mehboob Khan,Nargis+Sunil Dutt+Rajendra Kumar Tuli,Wajahat Mirza+S. Ali Raza,PT2H52M,7.8,
Chalti Ka Naam Gaadi,https://www.imdb.com/title/tt0128985/,Comedy+Musical+Romance,1958-01-01,Three woman-hating brothers face changes in their respective lifestyles when two of them fall in love.,1.25,Satyen Bose,Ashok Kumar+Madhubala+Anoop Kumar,Govind Moonis+Ramesh Pant,PT2H53M,7.9,100.5631868131868
Madhumati,https://www.imdb.com/title/tt0050665/,Fantasy+Musical+Mystery,1958-09-12,"A young man takes shelter in a mansion when a landslide blocks his route to the railway station. Then, he finds the mansion familiar and soon learns about the story of his previous birth.",2.0,Bimal Roy,Dilip Kumar+Vyjayanthimala+Johnny Walker,Ritwik Ghatak+Rajinder Singh Bedi,PT2H46M,7.7,160.9010989010989
Paper Flowers,https://www.imdb.com/title/tt0052954/,Romance,1959-01-02,"Suresh Sinha, a famous director, discovers star potential in Shanti, a woman he stumbled into one rainy evening, and casts her as the lead in a film. In a twist of fate, Shanti becomes a superstar and Suresh faces a decline in his career.",,Guru Dutt,Waheeda Rehman+Guru Dutt+Kumari Naaz,,PT2H28M,7.8,
Honeymoon,https://www.imdb.com/title/tt0361712/,Drama+Family,1960-01-01,"Shanta and Prema are fast friends. Both are educated. shanta is bold. Prema is timid. After father's death, Shanta has to live with her elder cousin brother, Sitaram, who works in a office. His wife does not like Shanta's modern behaviour. Prema's father is rich and encourages free behaviour of girls, which is resented by his wife. Once Shanta meets Kishore, who is a painter,but his paintings are never sold. He stays with Deendayal who treats him as his brother. Deendayal and Sitaram fix Shanta's marriage with Kishore. Shanta takes a test of Kishore and then refuses to marry him. But soon she realises that his love is genuine, and she wants to marry him. Now his brother refuses as kishore is very poor. Nevertheless Shanta marries him and they start a happy life. Prema meets a ultra modern boy Kailash and without making any enquiry marries him. They both go to London for Honeymoon. Shanta and Kishore are leading a happy life despite poverty. One day prema comes back from London. Kailash has cheated her and left her in London. Prema realises that it is not modernity alone, but Love that is more important for a happy married life.",,Lekhraj Bhakri,Manoj Kumar+Sayeeda Khan+Vijaya Choudhury,,PT2H20M,8.7,
Mughal-E-Azam,https://www.imdb.com/title/tt0054098/,Drama+Romance+War,1960-08-05,A 16th century prince falls in love with a court dancer and battles with his emperor father.,5.5,K. Asif,Prithviraj Kapoor+Madhubala+Dilip Kumar,K. Asif+Aman+Kamal Amrohi,PT3H17M,8.1,402.655
Gunga Jumna,https://www.imdb.com/title/tt0054910/,Action+Adventure+Drama,1961-01-01,"Gungaram, a poor, indebted farmer, works hard to educate his younger brother Jumna and make him a police officer. Years later, circumstances force Gungaram to become an outlaw and now the brothers confront each other as enemies.",,Nitin Bose,Dilip Kumar+Vyjayanthimala+Nasir Khan,Wajahat Mirza+Dilip Kumar,PT2H58M,7.4,
Maa Beta,https://www.imdb.com/title/tt0355716/,Comedy+Crime+Drama,1962-01-01,"Dependent on his elder brother, Bishan, Ganga and his wife, Rameshwari, are abused and asked to leave. They work hard, set up their own business, and soon become wealthy enough to even support Bishan and his wife. A pregnant Rameshwari gets the news that her husband has been killed. She subsequently gives birth to a boy, who goes missing. Will Rameshwari be ever reunited with her son?",,Lekhraj Bhakri,Manoj Kumar+Ameeta+Vijay Dutt,Lekhraj Bhakri+Prem Dhawan+Rajaram Shastri,PT2H18M,6.0,
Banarasi Thug,https://www.imdb.com/title/tt0357463/,Drama,1962-05-15,"Shyam travels to another town to meet the girl his mother would like him to marry. On his way, he meets a villager who traps Shyam in his home, with a view to force Shyam to marry his daughter.",,Lekhraj Bhakri,Manoj Kumar+Vijaya Choudhury+I.S. Johar,Mahendra Sari,PT2H25M,7.3,
China Town,https://www.imdb.com/title/tt0268220/,Comedy+Crime+Romance,1962-10-05,A Darjeeling-based singer is asked to impersonate and take over the life of a Calcutta-based China Town gangster.,,Shakti Samanta,Shammi Kapoor+Shakila+Helen,Ranjan Bose+Vrajendra Gaur+Salil Sen Gupta,PT2H31M,7.0,
Sahib Bibi Aur Ghulam,https://www.imdb.com/title/tt0056436/,Drama+Musical,1962-12-07,"A lowly servant, Bhootnath gets close to the wife of his employer and narrates her story through his eyes and perspective.",,Abrar Alvi,Meena Kumari+Guru Dutt+Rehman Khan,Abrar Alvi+Bimal Mitra,PT2H32M,8.1,
Woh Kaun Thi?,https://www.imdb.com/title/tt0232960/,Drama+Mystery+Romance,1964-02-07,"One stormy night, a doctor offers a ride to a ghostly woman he meets on the side of the road. Later, he discovers his intended bride is identical in appearance to the ghost. Who was she and why does she haunt him?",,Raj Khosla,Sadhana Shivdasani+Manoj Kumar+Parveen Choudhary,Dhruva Chatterjee+Ahsan Rizvi,PT2H20M,7.5,
Sangam,https://www.imdb.com/title/tt0058547/,Drama+Musical+Romance,1964-06-18,"Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",4.0,Raj Kapoor,Raj Kapoor+Rajendra Kumar Tuli+Vyjayanthimala,Inder Raj Anand,PT3H58M,7.3,223.54198473282443
Dosti,https://www.imdb.com/title/tt0146645/,Drama+Family+Musical,1964-11-06,"A series of unfortunate events cause Ramu, a young boy, to lose his parents and his legs. He is befriended by Mohan, a boy with visual impairment, and they team up to survive on the streets.",,Satyen Bose,Sudhir Kumar+Sushil Kumar+Sanjay Khan,Ban Bhatt+Govind Moonis,PT2H43M,8.5,
Kashmir Ki Kali,https://www.imdb.com/title/tt0058257/,Comedy+Musical+Romance,1964-11-20,A rich young man woos a proud girl against her father's wishes.,,Shakti Samanta,Shammi Kapoor+Sharmila Tagore+Pran Sikand,,PT2H48M,6.9,
Shaheed,https://www.imdb.com/title/tt0293589/,Biography+Drama+History,1965-01-01,Shaheed (1965) presents the inspirational biography of one of India's greatest patriots Sardar Bhagat Singh.,0.75,S. Ram Sharma,Kamini Kaushal+Nirupa Roy+Anand Kumar,B.K. Dutt+Din Dayal Sharma,PT2H30M,8.2,39.50179856115108
Himalay Ki Godmein,https://www.imdb.com/title/tt0156606/,Adventure+Drama+Family,1965-01-01,"Young doctor chooses remote Himalayan village, abandoning city comforts. Fiancée leaves, dismayed by primitive conditions. He must decide: stay to heal the villagers or follow his heart.",,Vijay Bhatt,Mala Sinha+Manoj Kumar+Shashikala Jawalkar,Moosa Kaleem+Virendra Sinha,PT2H,6.6,
Gumnaam,https://www.imdb.com/title/tt0247394/,Musical+Mystery+Thriller,1965-02-06,"Eight people are stranded on an island. They reach a mansion where a butler is awaiting them. Then an unknown, vengeful person starts killing them, one by one.",,Raja Nawathe,Nanda Karnataki+Manoj Kumar+Pran Sikand,Dhruva Chatterjee+Agatha Christie+Charandas Shokh,PT2H31M,6.9,
Guide,https://www.imdb.com/title/tt0059246/,Drama+Romance,1965-02-06,"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.",1.75,Vijay Anand,Dev Anand+Waheeda Rehman+Leela Chitnis,Vijay Anand+Pearl S. Buck+R.K. Narayan,PT3H3M,8.3,92.17086330935251
Waqt,https://www.imdb.com/title/tt0059893/,Drama+Romance,1965-07-28,"Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected.",3.0,Yash Chopra,Sunil Dutt+Sadhana Shivdasani+Raaj Kumar,Akhtar Mirza+Akhtar-Ul-Iman,PT2H58M,7.6,158.0071942446043
Teen Devian,https://www.imdb.com/title/tt0274944/,Musical+Romance,1965-12-10,"Devdutt Anand works in a company selling musical instruments, and is always late for work, infuriating his boss, I.S. Johar. Things change for the better when Johar finds out that Devdutt has a talent for writing poems, and he gets Devdutt to write and even gets them published for him. This gets Devdutt into the limelight and increases sales for Johar's business. While traveling home by BEST bus, he meets with Nanda, who has come to live in his neighborhood, and both are attracted to each other. One night Devdutt comes to the assistance to Bollywood movie actress Kalpana when her car breaks down, she finds out he is a poet and arranges a meeting with him, again both are attracted to each other. Devdutt is asked to deliver a piano to the palatial house of a wealthy woman named Simi alias Radha Rani. She too is impressed by Devutt's poems and invites him over to her house for a party, and again both are attracted to each other. Knowing fully well that he cannot marry three women in his country, a tortured and uncertain Devdutt must now make up his mind as who he wants as his life-partner.",,Amarjeet,Dev Anand+Nanda Karnataki+Simi Garewal,Sadashiv Brahmam+Vrajendra Gaur,PT2H1M,7.3,
